Player,Salary,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, , , , , , , , ,OWS,DWS,WS,WS/48, , , , , , , , ,OBPM,DBPM,BPM,VORP
Zion Williamson,34005250,PF,23,NOP,40,40,30.2,8.7,14.8,.590,0.1,0.3,.364,8.6,14.5,.594,.593,4.6,6.8,.675,1.7,3.8,5.5,4.7,1.0,0.4,2.5,2.4,22.1,22.6,.622,.019,.458,6.3,13.6,10.0,25.4,1.5,1.3,12.4,28.8,,,,,,,,,2.7,1.4,4.1,.163,,,,,,,,,3.4,0.2,3.6,1.7
Jamal Murray,33833400,PG,26,DEN,37,37,31.9,7.9,16.7,.471,2.4,5.9,.406,5.5,10.8,.506,.543,2.8,3.3,.854,0.7,3.2,4.0,6.6,0.8,0.7,1.9,2.0,21.0,20.2,.577,.354,.199,2.6,11.2,7.0,31.1,1.2,2.0,9.4,27.4,,,,,,,,,2.5,1.2,3.6,.148,,,,,,,,,4.6,-0.6,4.0,1.8
Brandon Ingram,33833400,SF,26,NOP,46,46,33.1,8.2,16.5,.495,1.5,4.0,.374,6.7,12.5,.534,.540,4.1,5.0,.806,0.7,4.3,5.0,5.7,0.8,0.5,2.4,2.2,21.8,18.8,.585,.240,.306,2.3,14.3,8.3,26.6,1.1,1.5,11.5,27.4,,,,,,,,,2.4,1.6,4.1,.128,,,,,,,,,2.1,-0.3,1.8,1.5
Shai Gilgeous-Alexander,33386850,PG,25,OKC,50,50,34.6,10.9,19.9,.547,1.2,3.4,.359,9.7,16.5,.585,.577,8.1,9.1,.890,0.9,4.7,5.6,6.6,2.2,0.9,2.2,2.6,31.1,30.7,.649,.171,.454,3.1,14.5,9.1,31.4,3.1,2.3,8.4,32.8,,,,,,,,,7.8,3.0,10.8,.301,,,,,,,,,7.4,2.9,10.3,5.3
Donovan Mitchell,33162030,SG,27,CLE,39,39,35.5,9.9,21.1,.471,3.3,9.2,.354,6.7,11.9,.563,.549,5.1,5.9,.857,1.0,4.4,5.4,6.4,1.9,0.5,2.7,2.2,28.2,23.6,.595,.436,.281,3.2,13.4,8.4,29.6,2.6,1.2,10.4,32.2,,,,,,,,,3.1,2.4,5.5,.191,,,,,,,,,5.6,1.7,7.2,3.2
Jayson Tatum,32600060,PF,25,BOS,47,47,35.7,9.1,19.3,.473,3.1,8.3,.371,6.0,11.0,.550,.553,5.7,6.9,.816,0.9,7.5,8.4,4.5,1.0,0.6,2.6,2.0,27.0,21.9,.604,.431,.359,2.8,21.2,12.4,19.8,1.4,1.4,10.3,30.0,,,,,,,,,3.6,2.8,6.3,.181,,,,,,,,,4.2,0.9,5.0,3.0
Bam Adebayo,32600060,C,26,MIA,41,41,34.7,7.6,15.0,.504,0.0,0.3,.091,7.5,14.7,.512,.505,5.1,6.5,.779,2.2,8.4,10.6,4.1,1.0,1.0,2.5,2.5,20.2,19.4,.566,.018,.434,7.2,27.9,17.4,19.5,1.4,2.8,12.1,25.9,,,,,,,,,1.4,2.3,3.7,.124,,,,,,,,,0.4,1.3,1.6,1.3
De'Aaron Fox,32600060,PG,26,SAC,43,43,35.6,9.7,20.7,.469,3.0,7.9,.378,6.7,12.8,.525,.541,4.9,6.7,.721,0.8,3.2,4.0,5.3,1.8,0.4,2.5,2.6,27.3,20.0,.576,.383,.326,2.5,10.5,6.4,23.7,2.4,1.1,9.6,31.3,,,,,,,,,2.0,1.6,3.6,.113,,,,,,,,,2.5,-0.6,1.9,1.5
Deandre Ayton,32459438,C,25,POR,34,34,31.9,6.4,11.4,.557,0.0,0.0,,6.4,11.4,.557,.557,1.1,1.4,.809,3.1,7.1,10.2,1.6,1.0,0.7,1.8,2.3,13.8,16.2,.575,.000,.121,10.2,26.9,18.1,8.3,1.5,2.1,12.8,18.4,,,,,,,,,0.7,1.3,1.9,.086,,,,,,,,,-1.3,-0.3,-1.6,0.1
Jaylen Brown,31830357,SF,27,BOS,46,46,33.2,8.6,17.5,.491,2.0,5.8,.348,6.6,11.7,.562,.549,3.1,4.3,.727,1.1,4.3,5.4,3.7,1.1,0.6,2.4,2.6,22.3,18.1,.576,.332,.246,3.6,13.2,8.6,17.8,1.6,1.6,10.9,28.2,,,,,,,,,1.6,2.2,3.8,.119,,,,,,,,,0.7,0.2,1.0,1.1
Gordon Hayward,31500000,SF,33,CHO,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,14.0,.544,.205,.273,3.3,13.7,8.2,21.6,1.7,1.4,13.3,20.8,,,,,,,,,0.2,0.3,0.6,.033,,,,,,,,,-1.3,-0.8,-2.1,0.0
Chris Paul,30800000,PG,38,GSW,32,11,27.6,3.3,7.7,.424,1.3,3.7,.361,1.9,3.9,.484,.512,1.1,1.3,.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9,14.3,.543,.486,.171,1.2,13.7,7.5,34.0,2.0,0.3,12.6,14.4,,,,,,,,,1.7,0.8,2.4,.132,,,,,,,,,0.1,0.9,1.0,0.7
Domantas Sabonis,30600000,C,27,SAC,49,49,35.5,7.9,12.8,.619,0.5,1.1,.434,7.5,11.7,.637,.638,3.3,4.9,.689,3.2,9.9,13.1,8.2,0.8,0.5,3.4,3.1,19.7,22.9,.659,.084,.379,9.9,32.2,20.8,34.0,1.1,1.4,18.5,22.0,,,,,,,,,5.1,2.1,7.2,.200,,,,,,,,,3.8,2.3,6.1,3.5
Kyle Lowry,29682540,PG,37,MIA,37,35,28.0,2.8,6.5,.426,1.7,4.4,.385,1.1,2.2,.506,.554,0.9,1.1,.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2,10.8,.582,.665,.174,2.7,11.5,7.0,19.7,1.9,1.4,16.9,13.4,,,,,,,,,0.7,1.2,1.9,.090,,,,,,,,,-2.1,1.1,-1.0,0.3
Khris Middleton,29320988,SF,32,MIL,43,43,26.3,5.6,11.6,.487,1.7,4.5,.378,3.9,7.1,.556,.560,1.8,2.2,.832,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.4,14.8,16.7,.590,.388,.191,2.6,14.9,8.9,27.1,1.6,0.9,14.2,23.6,,,,,,,,,1.5,1.0,2.4,.104,,,,,,,,,0.9,-0.2,0.7,0.8
DeMar DeRozan,28600000,SF,34,CHI,49,49,37.4,7.6,16.4,.464,0.9,2.8,.328,6.7,13.7,.492,.492,6.1,7.1,.851,0.6,3.5,4.1,5.3,1.2,0.7,1.6,2.1,22.3,18.5,.568,.170,.434,1.7,10.6,6.1,22.0,1.7,1.8,7.3,24.8,,,,,,,,,3.6,1.7,5.3,.138,,,,,,,,,1.2,0.0,1.2,1.5
Julius Randle,28226880,PF,29,NYK,46,46,35.4,8.6,18.2,.472,1.7,5.3,.311,6.9,12.9,.539,.518,5.1,6.6,.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0,18.6,.569,.292,.361,6.8,21.9,14.4,22.3,0.8,0.7,14.1,29.5,,,,,,,,,1.9,2.1,4.0,.117,,,,,,,,,1.9,-0.2,1.7,1.5
Jordan Poole,27955357,SG,24,WAS,47,47,29.1,5.8,14.3,.407,1.9,6.4,.301,3.9,7.9,.492,.474,2.7,3.1,.868,0.4,1.9,2.3,3.6,1.0,0.4,2.1,3.0,16.2,10.8,.518,.446,.215,1.3,7.2,4.2,17.6,1.6,1.0,12.1,25.7,,,,,,,,,-1.3,0.4,-0.9,-0.031,,,,,,,,,-3.5,-2.3,-5.8,-1.3
Jerami Grant,27586207,PF,29,POR,43,43,33.6,7.3,15.8,.461,2.1,5.1,.403,5.2,10.7,.489,.527,4.6,5.7,.809,0.7,3.0,3.7,2.6,0.7,0.7,2.0,2.2,21.3,15.9,.581,.325,.362,2.1,10.7,6.2,12.9,1.1,2.0,9.6,25.7,,,,,,,,,1.5,0.8,2.3,.078,,,,,,,,,1.1,-1.0,0.2,0.8
Tyler Herro,27000000,SG,24,MIA,31,31,33.6,7.7,18.0,.429,3.3,8.2,.403,4.5,9.9,.451,.521,2.0,2.4,.838,0.5,4.8,5.3,4.3,0.9,0.1,2.3,1.5,20.8,14.9,.544,.453,.132,1.7,16.3,8.9,21.4,1.4,0.2,10.6,28.0,,,,,,,,,-0.2,1.1,0.9,.043,,,,,,,,,1.0,-1.0,0.0,0.5
Jalen Brunson,26346666,PG,27,NYK,49,49,35.8,9.7,20.2,.482,2.7,6.5,.411,7.0,13.7,.516,.548,5.1,6.2,.834,0.6,3.3,3.9,6.5,0.9,0.2,2.3,2.0,27.2,22.0,.596,.323,.306,1.8,10.2,6.0,30.3,1.3,0.5,9.2,29.9,,,,,,,,,5.2,1.8,7.0,.193,,,,,,,,,5.1,-0.2,4.9,3.1
Cameron Johnson,25679348,PF,27,BRK,40,40,28.5,5.2,11.3,.458,2.5,6.2,.401,2.7,5.1,.527,.568,1.2,1.6,.742,1.1,3.6,4.7,2.6,0.8,0.3,1.0,1.9,13.9,14.7,.584,.549,.138,4.0,14.1,8.9,13.4,1.4,0.8,7.6,19.4,,,,,,,,,1.5,0.9,2.4,.100,,,,,,,,,1.2,-0.6,0.6,0.7
Kyle Kuzma,25568182,PF,28,WAS,48,48,31.5,8.5,18.8,.455,2.2,6.7,.329,6.3,12.1,.524,.513,2.5,3.1,.801,1.0,5.5,6.5,4.3,0.4,0.6,2.6,2.1,21.8,15.7,.541,.357,.167,3.3,18.9,11.0,21.4,0.6,1.7,11.5,30.5,,,,,,,,,-0.8,0.6,-0.1,-0.004,,,,,,,,,0.3,-2.1,-1.8,0.1
John Collins,25340000,PF,26,UTA,48,46,27.7,5.6,10.8,.520,1.2,3.5,.341,4.4,7.3,.607,.576,1.8,2.3,.777,2.2,5.8,8.0,1.0,0.6,0.8,1.4,2.8,14.3,15.9,.603,.328,.216,8.8,22.6,15.8,5.5,1.0,2.6,10.4,19.8,,,,,,,,,1.6,1.2,2.8,.101,,,,,,,,,-0.4,-1.2,-1.6,0.1
Brook Lopez,25000000,C,35,MIL,48,48,31.9,5.0,10.2,.491,1.8,5.1,.348,3.2,5.1,.633,.578,1.5,1.8,.828,1.6,3.9,5.5,1.6,0.6,2.8,0.9,2.6,13.3,15.1,.604,.499,.178,5.6,13.1,9.5,6.7,0.9,7.0,7.9,15.8,,,,,,,,,2.0,1.8,3.8,.118,,,,,,,,,0.2,1.0,1.2,1.2
Mike Conley,24360000,PG,36,MIN,46,46,29.2,3.6,8.1,.440,2.3,5.2,.436,1.3,2.9,.447,.580,1.2,1.3,.915,0.3,2.4,2.8,6.5,1.0,0.2,1.1,1.7,10.6,15.0,.610,.646,.158,1.4,9.0,5.4,30.3,1.7,0.6,10.9,14.7,,,,,,,,,3.1,2.0,5.1,.184,,,,,,,,,1.7,1.4,3.1,1.7
Andrew Wiggins,24330357,SF,28,GSW,42,31,27.1,4.6,10.6,.437,1.0,3.1,.311,3.7,7.5,.490,.483,1.9,2.7,.717,1.6,2.6,4.2,1.5,0.4,0.5,1.3,2.3,12.2,10.4,.516,.296,.253,6.4,10.3,8.4,8.0,0.8,1.8,10.2,20.4,,,,,,,,,0.0,0.6,0.6,.027,,,,,,,,,-2.8,-1.9,-4.6,-0.8
Anfernee Simons,24107143,SG,24,POR,28,28,33.9,8.1,18.3,.441,3.4,8.7,.391,4.7,9.6,.485,.533,3.7,4.1,.904,0.5,3.0,3.6,5.3,0.5,0.1,2.5,2.0,23.2,17.0,.577,.474,.222,1.7,10.8,5.9,27.1,0.7,0.4,11.2,28.4,,,,,,,,,1.2,0.4,1.6,.079,,,,,,,,,3.2,-2.3,0.9,0.7
RJ Barrett,23883929,SG,23,TOT,40,40,31.2,7.0,14.9,.467,1.6,4.6,.341,5.4,10.3,.524,.520,3.8,5.0,.763,0.9,4.4,5.3,2.8,0.5,0.4,1.9,2.2,19.3,15.4,.564,.311,.333,3.0,15.7,9.3,13.7,0.8,1.1,9.8,25.9,,,,,,,,,1.0,1.1,2.2,.083,,,,,,,,,0.1,-1.3,-1.3,0.2
Jordan Clarkson,23487629,SG,31,UTA,42,19,29.9,6.2,15.0,.417,1.6,5.5,.288,4.6,9.4,.492,.470,3.3,3.8,.873,0.9,2.5,3.4,4.9,0.6,0.1,2.8,1.4,17.4,12.5,.522,.370,.251,3.5,9.0,6.3,24.1,1.0,0.4,14.5,27.0,,,,,,,,,-0.1,0.4,0.2,.009,,,,,,,,,-1.4,-3.1,-4.5,-0.8
